person_id,sociability,routine_preference,spontaneity,travel_tolerance,nightlife_preference,activity_budget,family_orientation,warmth,directness,patience,communication_style,personality_summary
P00811,0.13,0.23,0.67,0.51,0.18,0.71,0.90,0.79,0.92,0.46,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系。
P00812,0.84,0.35,0.57,0.52,0.49,0.20,0.66,0.20,0.69,0.46,直接简洁,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00813,0.82,0.28,0.83,0.57,0.39,0.24,0.94,0.91,0.61,0.21,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系。
P00814,0.70,0.47,0.54,0.79,0.63,0.39,0.81,0.53,0.75,0.14,直接简洁,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式直接简洁，重视家庭联系。
P00815,0.40,0.13,0.58,0.49,0.59,0.64,0.64,0.28,0.26,0.30,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00816,0.25,0.33,0.51,0.46,0.51,0.48,0.48,0.16,0.54,0.32,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00817,0.70,0.27,0.54,0.29,0.61,0.37,0.57,0.62,0.47,0.54,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式健谈外向，生活取向相对均衡。
P00818,0.19,0.71,0.46,0.32,0.32,0.53,0.69,0.35,0.62,0.74,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00819,0.09,0.66,0.33,0.47,0.51,0.42,0.46,0.35,0.19,0.52,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00820,0.76,0.50,0.47,0.57,0.80,0.49,0.37,0.49,0.72,0.53,直接简洁,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，喜欢晚间外出。
P00821,0.32,0.32,0.62,0.58,0.45,0.54,0.41,0.16,0.53,0.49,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00822,0.18,0.48,0.58,0.43,0.27,0.39,0.50,0.72,0.56,0.67,温和体贴,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00823,0.29,0.68,0.22,0.62,0.39,0.50,0.47,0.50,0.54,0.37,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00824,0.59,0.73,0.54,0.43,0.39,0.18,0.37,0.37,0.69,0.50,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00825,0.90,0.85,0.22,0.86,0.41,0.84,0.46,0.60,0.47,0.73,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式沉稳耐心，处理分歧时较有耐心。
P00826,0.41,0.40,0.78,0.35,0.53,0.52,0.74,0.56,0.57,0.59,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00827,0.46,0.29,0.53,0.74,0.26,0.31,0.60,0.11,0.33,0.72,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式沉稳耐心，处理分歧时较有耐心。
P00828,0.24,0.47,0.40,0.36,0.17,0.62,0.69,0.57,0.13,0.20,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00829,0.35,0.59,0.61,0.40,0.38,0.55,0.50,0.45,0.71,0.23,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00830,0.49,0.22,0.69,0.62,0.51,0.26,0.42,0.42,0.67,0.77,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00831,0.26,0.22,0.66,0.53,0.57,0.69,0.16,0.31,0.65,0.86,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00832,0.60,0.23,0.74,0.58,0.55,0.32,0.62,0.25,0.63,0.70,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式沉稳耐心，生活取向相对均衡。
P00833,0.40,0.54,0.46,0.47,0.38,0.39,0.27,0.21,0.31,0.58,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00834,0.33,0.84,0.46,0.52,0.54,0.37,0.77,0.64,0.50,0.31,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00835,0.61,0.51,0.60,0.71,0.65,0.63,0.44,0.70,0.52,0.70,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式温和体贴，处理分歧时较有耐心。
P00836,0.40,0.29,0.70,0.46,0.56,0.85,0.46,0.56,0.38,0.24,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00837,0.47,0.14,0.64,0.55,0.44,0.63,0.42,0.55,0.30,0.70,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，生活取向相对均衡。
P00838,0.59,0.70,0.34,0.52,0.36,0.83,0.77,0.26,0.73,0.35,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P00839,0.59,0.45,0.37,0.64,0.39,0.20,0.97,0.41,0.31,0.75,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00840,0.60,0.02,0.63,0.43,0.59,0.32,0.64,0.39,0.34,0.70,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，生活取向相对均衡。
P00841,0.10,0.19,0.84,0.58,0.26,0.47,0.56,0.26,0.37,0.20,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00842,0.51,0.45,0.58,0.61,0.51,0.32,0.61,0.70,0.77,0.89,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，处理分歧时较有耐心。
P00843,0.66,0.68,0.39,0.75,0.56,0.59,0.28,0.49,0.88,0.62,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式直接简洁，生活取向相对均衡。
P00844,0.18,0.66,0.34,0.22,0.33,0.68,0.74,0.24,0.45,0.71,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00845,0.41,0.83,0.26,0.28,0.46,0.28,0.66,0.40,0.32,0.47,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00846,0.24,0.49,0.58,0.46,0.44,0.87,0.50,0.56,0.44,0.82,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00847,0.44,0.65,0.44,0.36,0.48,0.47,0.98,0.15,0.17,0.76,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00848,0.41,0.81,0.45,0.58,0.39,0.18,0.73,0.78,0.80,0.45,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系。
P00849,0.32,0.46,0.57,0.58,0.42,0.56,0.60,0.65,0.20,0.31,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00850,0.36,0.43,0.60,0.33,0.48,0.40,0.51,0.34,0.68,0.51,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式直接简洁，生活取向相对均衡。
P00851,0.82,0.56,0.38,0.78,0.72,0.67,0.33,0.54,0.82,0.82,直接简洁,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式直接简洁，喜欢晚间外出，处理分歧时较有耐心。
P00852,0.32,0.79,0.24,0.60,0.37,0.27,0.43,0.58,0.75,0.54,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00853,0.68,0.56,0.58,0.67,0.65,0.40,0.68,0.61,0.30,0.15,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00854,0.62,0.93,0.16,0.36,0.46,0.31,0.77,0.30,0.72,0.58,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P00855,0.47,0.80,0.43,0.70,0.76,0.34,0.68,0.54,0.52,0.47,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式克制务实，重视家庭联系，喜欢晚间外出。
P00856,0.87,0.32,0.70,0.56,0.69,0.33,0.75,0.24,0.33,0.63,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系，喜欢晚间外出。
P00857,0.50,0.35,0.63,0.67,0.67,0.50,0.57,0.57,0.19,0.50,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00858,0.80,0.70,0.39,0.56,0.71,0.59,0.53,0.50,0.76,0.70,直接简洁,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，喜欢晚间外出。
P00859,0.32,0.62,0.46,0.52,0.64,0.55,0.53,0.73,0.48,0.68,温和体贴,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00860,0.60,0.51,0.45,0.66,0.67,0.50,0.31,0.23,0.35,0.71,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00861,0.67,0.36,0.45,0.46,0.64,0.58,0.58,0.55,0.61,0.44,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00862,0.71,0.51,0.40,0.72,0.44,0.46,0.59,0.62,0.59,0.36,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P00863,0.35,0.02,0.80,0.52,0.39,0.43,0.89,0.06,0.47,0.41,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00864,0.58,0.55,0.39,0.54,0.35,0.71,0.64,0.18,0.97,0.72,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，处理分歧时较有耐心。
P00865,0.45,0.76,0.31,0.68,0.47,0.50,0.58,0.12,0.61,0.35,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00866,0.64,0.71,0.32,0.73,0.55,0.30,0.68,0.46,0.47,0.65,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00867,0.72,0.30,0.77,0.46,0.33,0.22,0.36,0.11,0.37,0.27,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00868,0.59,0.43,0.39,0.44,0.66,0.42,0.75,0.78,0.80,0.42,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系。
P00869,0.41,0.54,0.46,0.44,0.35,0.29,0.76,0.67,0.56,0.53,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00870,0.42,0.54,0.45,0.44,0.52,0.27,0.70,0.50,0.38,0.31,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00871,0.44,0.07,0.67,0.68,0.75,0.61,0.20,0.78,0.36,0.62,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，喜欢晚间外出。
P00872,0.60,0.39,0.57,0.59,0.59,0.47,0.20,0.69,0.35,0.47,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00873,0.74,0.48,0.64,0.76,0.71,0.47,0.36,0.64,0.32,0.89,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式沉稳耐心，喜欢晚间外出，处理分歧时较有耐心。
P00874,0.39,0.58,0.52,0.61,0.64,0.54,0.41,0.69,0.48,0.57,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00875,0.47,0.60,0.45,0.48,0.36,0.58,0.98,0.50,0.23,0.37,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00876,0.56,0.53,0.37,0.57,0.59,0.67,0.68,0.52,0.81,0.31,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00877,0.67,0.42,0.60,0.81,0.46,0.35,0.82,0.74,0.58,0.60,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式温和体贴，重视家庭联系。
P00878,0.74,0.70,0.40,0.67,0.72,0.53,0.81,0.44,0.55,0.49,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系，喜欢晚间外出。
P00879,0.78,0.60,0.39,0.49,0.58,0.74,0.84,0.72,0.45,0.83,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，处理分歧时较有耐心。
P00880,0.18,0.53,0.48,0.36,0.37,0.78,0.75,0.41,0.30,0.62,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00881,0.44,0.17,0.57,0.67,0.40,0.27,0.51,0.48,0.69,0.67,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00882,0.71,0.30,0.61,0.88,0.60,0.21,0.74,0.22,0.26,0.63,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，重视家庭联系。
P00883,0.37,0.37,0.52,0.70,0.63,0.50,0.14,0.30,0.70,0.33,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式直接简洁，生活取向相对均衡。
P00884,0.55,0.58,0.50,0.45,0.71,0.73,0.66,0.50,0.60,0.17,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，喜欢晚间外出。
P00885,0.62,0.54,0.44,0.71,0.67,0.21,0.68,0.29,0.53,0.28,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00886,0.41,0.64,0.38,0.67,0.44,0.73,0.68,0.48,0.91,0.76,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，处理分歧时较有耐心。
P00887,0.53,0.42,0.51,0.56,0.45,0.66,0.35,0.45,0.70,0.41,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00888,0.40,0.53,0.53,0.71,0.44,0.80,0.68,0.40,0.31,0.75,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式沉稳耐心，处理分歧时较有耐心。
P00889,0.89,0.57,0.28,0.57,0.74,0.65,0.37,0.67,0.48,0.15,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，喜欢晚间外出。
P00890,0.80,0.89,0.38,0.86,0.44,0.19,0.67,0.29,0.55,0.80,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式沉稳耐心，处理分歧时较有耐心。
P00891,0.53,0.34,0.58,0.54,0.63,0.38,0.60,0.53,0.72,0.48,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00892,0.30,0.61,0.41,0.56,0.59,0.50,0.84,0.89,0.75,0.69,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系。
P00893,0.56,0.49,0.33,0.65,0.27,0.67,0.30,0.28,0.70,0.65,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00894,0.83,0.20,0.65,0.70,0.57,0.45,0.59,0.59,0.47,0.39,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P00895,0.21,0.81,0.37,0.39,0.34,0.37,0.56,0.23,0.64,0.36,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00896,0.70,0.37,0.46,0.54,0.48,0.67,0.47,0.14,0.30,0.63,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00897,0.66,0.35,0.67,0.65,0.67,0.93,0.25,0.52,0.65,0.81,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00898,0.78,0.31,0.64,0.62,0.70,0.59,0.08,0.27,0.34,0.32,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，喜欢晚间外出。
P00899,0.67,0.40,0.44,0.66,0.61,0.66,0.40,0.43,0.59,0.38,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00900,0.45,0.48,0.52,0.59,0.63,0.26,0.57,0.84,0.72,0.53,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00901,0.44,0.47,0.53,0.55,0.22,0.59,0.73,0.47,0.71,0.41,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P00902,0.73,0.31,0.64,0.81,0.64,0.75,0.41,0.28,0.45,0.21,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P00903,0.66,0.76,0.32,0.44,0.52,0.40,0.40,0.79,0.81,0.94,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式坦率热情，处理分歧时较有耐心。
P00904,0.21,0.40,0.68,0.43,0.57,0.11,0.74,0.59,0.70,0.36,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系。
P00905,0.22,0.50,0.59,0.56,0.26,0.59,0.68,0.87,0.56,0.14,温和体贴,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00906,0.56,0.25,0.57,0.41,0.68,0.73,0.56,0.51,0.13,0.37,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00907,0.88,0.35,0.72,0.68,0.80,0.27,0.61,0.66,0.84,0.85,坦率热情,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对较远的出行接受度较高。交流方式坦率热情，喜欢晚间外出，处理分歧时较有耐心。
P00908,0.58,0.28,0.71,0.61,0.74,0.20,0.62,0.77,0.62,0.12,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式温和体贴，喜欢晚间外出。
P00909,0.46,0.76,0.44,0.41,0.37,0.73,0.37,0.27,0.63,0.11,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00910,0.25,0.15,0.60,0.53,0.24,0.60,0.76,0.44,0.61,0.66,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00911,0.53,0.26,0.51,0.61,0.47,0.29,0.29,0.34,0.92,0.49,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
